district,province,illit_m,read_m,write_m,illit_f,read_f,write_f
Astorga,León,10640,1568,10587,22857,939,1321
Astudillo,Palencia,5120,653,5194,8762,868,1055
Ateca,Zaragoza,11883,442,4136,15119,299,651
Atienza,Guadalajara,6481,550,5153,10246,625,540
Avilés,Oviedo,6310,836,5375,13581,1331,1976
Ayamonte,Huelva,7950,237,2500,9314,569,1135
Ayora,Valencia,6819,153,1108,7485,160,301
Azpeitia,Guipuzcoa,12236,2731,3672,12472,4035,1680
Badajoz,Badajoz,9442,567,4544,8602,555,2168
Baena,Córdoba,8271,214,1591,8739,343,748
Baeza,Jaén,15202,507,4021,17168,716,1383
Balaguer,Lérida,24613,1448,6209,27677,501,918
Baltanás,Palencia,4408,621,4934,8370,621,695
Bande,Orense,8546,749,3167,14479,215,188
Barbastro,Huesca,12412,491,5200,15692,406,1146
Barcelona,Barcelona,65593,3991,62378,99643,5537,26593
Barco de Ávila,Ávila,5730,861,2359,8189,569,419
Baza,Granada,13785,158,2273,15207,147,665
Becerrea,Lugo,11089,323,5726,17101,132,246
Belchite,Zaragoza,7263,331,2029,9218,143,325
Belmonte,Cuenca,10513,678,4287,14186,833,999
Belmonte (Asturias),Oviedo,7999,942,6124,17491,545,594
Belorado,Burgos,3934,549,5173,6876,1462,1060
Benabarre,Huesca,13653,306,2915,15648,77,335
Benavente,Zamora,8152,1114,8655,15417,1150,1358
Berga,Barcelona,13736,813,4528,17527,454,969
Berja,Almería,17417,194,2259,19184,94,782
Bermillo de Sayago,Zamora,8074,1215,5440,12789,1388,939
Betanzos,Coruña,15272,919,6180,24310,324,943
Bilbao,Vizcaya,11872,1174,10388,17589,2216,6175
Boltaña,Huesca,11360,600,4575,15530,131,291
Borja,Zaragoza,11274,272,2985,12706,213,902
Bribiesca,Burgos,6300,714,7271,11600,1542,1285
Brihuega,Guadalajara,7276,500,5130,10537,655,989
Bujalance,Córdoba,5325,238,2219,7208,321,666
Burgo de Osma,Soria,6747,993,10593,14435,2298,1217
Burgos,Burgos,12438,2222,18631,21877,4243,5021
Béjar,Salamanca,10392,1242,5781,15200,1083,1648
Cabra,Córdoba,8439,333,1891,9332,381,850
Cabuérniga,Santander,1469,267,2582,3646,797,1359
Calahorra,Logroño,4549,125,2419,6350,204,775
Calamocha,Teruel,6416,455,2541,9067,175,357
Calatayud,Zaragoza,15963,490,4014,18617,288,1244
